Ecosystem/Croptype,Geolocation,2012 Quarter 1,2012 Quarter 2,2012 Semester 1,2012 Quarter 3,2012 Quarter 4,2012 Semester 2,2013 Quarter 1,2013 Quarter 2,2013 Semester 1,2013 Quarter 3,2013 Quarter 4,2013 Semester 2,2014 Quarter 1,2014 Quarter 2,2014 Semester 1,2014 Quarter 3,2014 Quarter 4,2014 Semester 2,2015 Quarter 1,2015 Quarter 2,2015 Semester 1,2015 Quarter 3,2015 Quarter 4,2015 Semester 2,2016 Quarter 1,2016 Quarter 2,2016 Semester 1,2016 Quarter 3,2016 Quarter 4,2016 Semester 2,2017 Quarter 1,2017 Quarter 2,2017 Semester 1,2017 Quarter 3,2017 Quarter 4,2017 Semester 2,2018 Quarter 1,2018 Quarter 2,2018 Semester 1,2018 Quarter 3,2018 Quarter 4,2018 Semester 2,2019 Quarter 1,2019 Quarter 2,2019 Semester 1,2019 Quarter 3,2019 Quarter 4,2019 Semester 2,2020 Quarter 1,2020 Quarter 2,2020 Semester 1,2020 Quarter 3,2020 Quarter 4,2020 Semester 2,2021 Quarter 1,2021 Quarter 2,2021 Semester 1,2021 Quarter 3,2021 Quarter 4,2021 Semester 2,2022 Quarter 1,2022 Quarter 2,2022 Semester 1,2022 Quarter 3,2022 Quarter 4,2022 Semester 2,2023 Quarter 1,2023 Quarter 2,2023 Semester 1,2023 Quarter 3,2023 Quarter 4,2023 Semester 2,2024 Quarter 1,2024 Quarter 2,2024 Semester 1,2024 Quarter 3,2024 Quarter 4,2024 Semester 2,2025 Quarter 1,2025 Quarter 2,2025 Semester 1,2025 Quarter 3,2025 Quarter 4,2025 Semester 2
Irrigated Palay,Albay,38809,51747,90556,37594,37553,75147,32322,56558,88880,38142,52183,90325,31727,59644,91371,35969,56447,92416,32342,55661,88003,34198,48229,82427,29496,57477,86973,39089,44533,83622,38583,51731,90314,36850,48025,84875,35897,54385,90282,37928,49448.66,87376.66,28600.2,49991.59,78591.79,41961.72,48215,90176.72,28523,57580,86103,43603.7,56733,100336.7,36262,59007,95269,42787,52671,95458,37671,61951,99622,44004,49831,93835,39130.28,60904.27,100034.55,43309.8,52782,96091.8,36749.2,57249,93998.2,37220.6,42830,80050.6,33825,61672,95497,40846.2,40919.41,81765.61
Irrigated Palay,Camarines Norte,12429,13723,26152,13823,16389,30212,13791,14160,27951,16282,17916,34198,15047,14788,29835,8382,23096,31478,14480,15157,29637,10247,20041,30288,10929,16763,27692,11270,21336,32606,13760,16655,30415,17293,21923,39216,16327,18716,35043,14999.4,22552,37551.4,13250.44,17987.8,31238.24,9357,22720,32077,18164.91,15452,33616.91,14160.76,23194.55,37355.31,16797.6,21092,37889.6,16160.28,25157,41317.28,16070.11,18349,34419.11,15964.5,23273.44,39237.94,11032.26,21449.06,32481.32,15516.4,23831.06,39347.46,13464.1,18668.13,32132.24,12822.11,13928.75,26750.86,12473.38,19371.73,31845.11,12727.91,16630.99,29358.9
Irrigated Palay,Camarines Sur,108009,115977,223986,104962,106016,210978,108823,127731,236554,104292,123350,227642,112489,131225,243714,86932,130651,217583,111153,134960,246113,106990,176035,283025,119263,127168,246431,105990,169567,275557,107165,141307,248472,101992,188651,290643,104527,150732,255259,99332,191878,291210,97593,124467,222060,100752,165714,266466,98914,131424,230338,107993,145277,253270,114564,144394,258958,108707,168777,277484,110605,126153,236758,107122,170980,278102,108801,121589,230390,107797,165666,273463,110447,123420,233867,110967,148641,259608,113304,125768,239072,107088,148917,256005
Irrigated Palay,Catanduanes,5783,3037,8820,3197,2837,6034,5217,3037,8254,4000,2851,6851,9890,1261,11151,3313,3217,6530,7245,1344,8589,6178,4131,10309,5799,4570,10369,6339,3230,9569,6075,3838,9913,5624,3982,9606,6643,4172,10815,7274.8,4069.66,11344.46,4559,2969,7528,2439.71,4380,6819.71,4248,3155.78,7403.78,3790.77,2775,6565.77,3594.67,3027.96,6622.63,3553.2,2913.66,6466.86,3851.61,3019,6870.61,3470.25,2464.11,5934.37,1704.5,1997.36,3701.86,2401.11,2124.69,4525.81,2351.17,2920.62,5271.79,1629.41,1752,3381.41,3309.31,2730.48,6039.8,2725.46,2903.24,5628.7
Irrigated Palay,Masbate,16790,7509,24299,11772,9342,21114,10997,17452,28449,13232,10238,23470,10991,18300,29291,9222,14874,24096,12025,13768,25793,5442,11265,16707,10974,12260,23234,4750,12096,16846,11110,15432,26542,6590,11664,18254,11315,13926,25241,5788,11876,17664,10287,13745,24032,5723.26,10926,16649.26,10311,14488,24799,5493,11297,16790,9531,13915,23446,5572,10974,16546,6083,14480,20563,5584,9019,14603,7989.2,13449,21438.2,5987,8861,14848,7980.9,9979.21,17960.11,2004,11807,13811,9926,17509,27435,1487,14663,16150
Irrigated Palay,Sorsogon,24450,23894,48344,24060,25495,49555,23425,28645,52070,11282,36280,47562,23712,29586,53298,12533,38178,50711,16579,35606,52185,14198,35738,49936,15533,38430,53963,13886,38156,52042,15649,39308,54957,5917,46585,52502,18287,36699,54986,9435,45344,54779,18683,34560,53243,9353,31484,40837,15057,39336,54393,11064,45033,56097,14326,41704,56030,11212,46499,57711,14103,41537,55640,9151,44557.45,53708.45,14512,38501.96,53013.96,9531.43,44173.36,53704.79,14596.81,41188.82,55785.64,8930.04,27887.99,36818.02,8583.81,30048.57,38632.37,7650.58,34222.49,41873.07
Rainfed Palay,Albay,8702,11420,20122,5959,15024,20983,8918,11152,20070,4922,16783,21705,9069,10798,19867,1576,20470,22046,9102,9096,18198,1113,14604,15717,7122,10976,18098,2041,11077,13118,5909,8166,14075,1847,13713,15560,6578,7212,13790,1457,13113.8,14570.8,3124.68,3542.7,6667.38,1604,10972.9,12576.9,5076,6436,11512,1692.25,16363,18055.25,7345,7559,14904,1950,16952,18902,7490.8,7525,15015.8,2029,15729,17758,8400.5,8948.02,17348.52,2457.1,16717.28,19174.38,8205.3,5096,13301.3,2582.1,14114,16696.1,9198,5494,14692,3117.9,15882.3,19000.2
Rainfed Palay,Camarines Norte,4480,7944,12424,10239,6499,16738,6447,7410,13857,8649,7756,16405,10476,7697,18173,6373,9925,16298,9396,8727,18123,5681,5886,11567,6186,8092,14278,6100,9233,15333,14640,8234,22874,4540,10054,14594,14751,9508,24259,4791.58,9205,13996.58,7293,8293.68,15586.68,4991,9565,14556,12022.7,9267,21289.7,7248.05,9002.1,16250.15,12236.3,4640,16876.3,9897.45,10312,20209.45,11861.33,5688.75,17550.08,9695.8,8889.5,18585.3,8272.7,9755.35,18028.05,9131.94,9401.37,18533.31,9672.29,4624.64,14296.93,7262.74,5458.89,12721.63,8760.23,7337.36,16097.59,6474.89,6544.28,13019.17
Rainfed Palay,Camarines Sur,35350,19488,54838,28940,45007,73947,32629,32775.8,65404.8,12695,59184,71879,36196,19093,55289,7580,59631,67211,37310,20663,57973,13267,58170,71437,54698,24201,78899,15478,50048,65526,41158,27816,68974,16809,58487,75296,43710,27317,71027,15674,56552,72226,34163,21296,55459,16089,52913,69002,36576,50376,86952,22119,57727,79846,34038,34574,68612,19334,58815,78149,38584,33618,72202,17320,61048,78368,41092,29724,70816,16812,51920,68732,41091,28925,70016,17843,46748,64591,41337,28711,70048,17923,47622,65545
Rainfed Palay,Catanduanes,5894,6215,12109,3841,1526,5367,6097,3199,9296,3370,1717,5087,10345,1859,12204,3729,1838,5567,7520,2870,10390,3499,2954,6453,5652,3068,8720,612,4795,5407,4472,4274,8746,2499,7025,9524,5580,4605,10185,1376.42,6224,7600.42,3863,3460.06,7323.06,1092.35,4567.56,5659.91,2635,3559.39,6194.39,2503.15,4352,6855.15,3056,3459.99,6515.99,1355.25,2415.69,3770.94,3385.6,3629.03,7014.63,2197.21,2792.65,4989.86,4030.86,3018.81,7049.67,1333.05,1182.88,2515.93,7093.1,2510.76,9603.86,1079.46,1568,2647.46,6005.03,3180.9,9185.94,1996.42,2751.33,4747.75
